SentimentText,UserName,CreationDate,Image,Location,FollowerCount,FollowingCount,Verified,ReTweet,Likes,ID,Polarity,bio
"Oneplus 9 Pro Vs Vivo X60 Pro Plus Comparison | Same Processor Different Price ? Which one to Buy?

https://t.co/iZ1HZKZ9Y8",Techcentral__,04/13/2021 04:43:01,https://pbs.twimg.com/profile_images/911575567786434566/s5an_eVN_normal.jpg,,37,58,False,0,0,1381830259029475330,0.000,"Youtube Channel 
The Tech And Our Updates"
@AndroidStud Why spend that money on the one plus 9 pro to use gcam makes no sense.,dogs559,04/12/2021 10:35:20,https://pbs.twimg.com/profile_images/1337627576538263552/KDMRdPET_normal.jpg,,265,173,False,0,1,1381737729348673536,0.000,
Watching “Law &amp; Order:Organized Crime” Season One Episode Two: Not Your Father’s Organized Crime on Hulu Plus via My IPAD Pro 9.7. {CL:529} https://t.co/83pYIuFWfp,borntoserve1968,04/12/2021 05:46:40,https://pbs.twimg.com/profile_images/484447486640021505/QOoHZyYq_normal.jpeg,,692,3874,False,0,0,1381665081365266434,0.000,"I am a 53 year old black man that loves to read, watch Sports and Television Shows. I also play a lot of NBA Live and NBA 2k and Now Pokémon Sword and Shield."
@srinivasr_19 @PeteLau @OnePlus_IN @oneplus @OnePlus_UK @OnePlus_Support I have one plus 9 Pro and I tell you it heats alot,iamankursangwan,04/12/2021 05:21:53,https://pbs.twimg.com/profile_images/1248073776199348224/0AlG0Gux_normal.jpg,,0,45,False,0,2,1381658847329193991,0.000,"Entreprenure
Learner"
Hi @GameloftIN why dont u support this on One Plus 9 Pro 🤔 https://t.co/rzw3hDjrEF,_silly_mistake_,04/12/2021 04:15:56,https://pbs.twimg.com/profile_images/713008633458503680/OIKrtUSj_normal.jpg,,363,1392,False,0,1,1381642250065616896,0.000,
"@oneplus When are we going to get the resolution for heating issue in One Plus 9 pro ??

Is that why we have paid 70k ??",us17190,04/12/2021 02:24:10,https://pbs.twimg.com/profile_images/1286666673743831046/DY-maelD_normal.jpg,,34,290,False,0,0,1381614121980846082,0.000,"A proud Indian and a typical Bihari😀

जात से क्षत्रिय 😬"
"Hi @oneplus @OnePlus_IN,  Could you please explain this 🤔 Why is it not supported on One Plus 9 Pro 🤔 @PeteLau https://t.co/YJmMTt61Qk",_silly_mistake_,04/12/2021 09:11:15,https://pbs.twimg.com/profile_images/713008633458503680/OIKrtUSj_normal.jpg,,363,1392,False,0,2,1381535373315088385,0.000,
"Where is my One Plus 9 Pro? 😊
@amazonIN @OnePlus_IN 
#AmazonMobileInsider #OnePlus9Series 
#OnePlus9Series5G https://t.co/Yh5IzJPZ5r",AhmedJani_Shaik,04/12/2021 05:44:54,https://pbs.twimg.com/profile_images/1273255892721569792/RdqtNokL_normal.jpg,,876,492,False,0,0,1381483442995490819,0.000,"Proud Indian 🇮🇳 



























































Watan Ke Aage Kuch Nahi, Khud Bhi Nahi.!! 🇮🇳"
"Where is my One Plus 9 Pro? 😊
@amazonIN @OnePlus_IN 
#AmazonMobileInsider #OnePlus9Series https://t.co/xBc8fcZpKs",AhmedJani_Shaik,04/12/2021 05:44:48,https://pbs.twimg.com/profile_images/1273255892721569792/RdqtNokL_normal.jpg,,876,492,False,0,0,1381483418303651840,0.000,"Proud Indian 🇮🇳 



























































Watan Ke Aage Kuch Nahi, Khud Bhi Nahi.!! 🇮🇳"
"One Plus India replied about the thief who declined to take the phone because it was not OnePlus 9 pro...

#MarketingMind #OnePlus https://t.co/KWoeFujFhs",MarketingMind_,04/12/2021 04:30:08,https://pbs.twimg.com/profile_images/1350303691002179584/mqpE7mk2_normal.jpg,,13096,28,False,1,33,1381464627024785415,0.000,"We Introduce you to one of the best and Creative ads around you which will leave you Spellbound..

Nomination Link for Women Iconza Awards 2021 👇"
"-Obviously we have entered the “I’m Switching” Phase of the One Plus 9 Pro Review.

i’m Just Saying 🤷🏻‍♂️",ImjustSayingJC,04/11/2021 05:57:24,https://pbs.twimg.com/profile_images/1379144542553788423/d36OKibe_normal.jpg,,1815,1047,False,0,17,1381305397626175488,0.000,Mobile Tech Analyst | Founder of the I'm Just Saying 🤷🏻‍♂️ Creator of the Month. Business Inquiries: imJustSayingjc@gmail.com
"@zen_helmi One Plus 9 and 9 Pro got mixed reviews. 

😂",izan_rosmani,04/11/2021 04:13:41,https://pbs.twimg.com/profile_images/1273481735762657280/3h5Gdb6Z_normal.jpg,,310,377,False,0,0,1381279294643527681,0.000,•Master in TESL 🎓 •ENFJ •Meneliti berita semasa •Melihat gelagat dan kerenah manusia  • Part-time proofreader
@parineet_v Wait for 13 or one plus 9 pro.,Techtopia01,04/11/2021 03:22:31,https://pbs.twimg.com/profile_images/1375115096410710025/C9wb8gI3_normal.jpg,,23,360,False,0,1,1381266416473673729,0.000,One machine can do the work of fifty ordinary men. No machine can do the work of one extraordinary man.
@OnePlus_UK My one plus 9 pro.....best unboxing....👍 https://t.co/CoqZLyLKpj,subhash1661660,04/11/2021 01:16:12,https://pbs.twimg.com/profile_images/1379602521124179968/teGW3E0g_normal.jpg,,1,10,False,0,7,1381234629382860800,0.000,electronic lover
@VerdeSelvans Some blackberry touch phone Motorola razor some Nokia feature phone Samsung s3 s4 s5 s6 edge s7 edge s9 iPhone 4s 5 5s se 6s 7 plus 8 plus x Xs 11 pro current :12 pro max also had one plus 3t 6 mi note 9 pro realme 6 pro I think that’s it,Unik53894020,04/11/2021 12:07:55,https://pbs.twimg.com/profile_images/1341414622675525652/38hioogr_normal.jpg,,6,136,False,0,2,1381217443889115143,0.000,not what you think
@OnePlus_Support pocket mode issue One plus 9 Pro https://t.co/hY5aY3Asz6,pratik_ccpl,04/11/2021 08:11:34,https://pbs.twimg.com/profile_images/1184090950236172288/vvCPTEsO_normal.jpg,,246,155,False,0,1,1381157964929585156,0.000,Commerce Corner Pvt Ltd
Within 4 hours of purchase.... One plus 9 pro .... @OnePlus_IN @oneplus ... @PeteLau https://t.co/TTnBIw0iXZ,adhilegend,04/10/2021 07:55:33,https://pbs.twimg.com/profile_images/1247610672977809408/zdZKBSW6_normal.jpg,,15,491,False,0,1,1380972742032302081,0.000,trying to be an human
@oneplus in my one plus 9 pro the final image output is not coming as it shown in during camera display @OnePlus_IN @OnePlus_Support,ssteja223,04/10/2021 07:46:09,https://pbs.twimg.com/profile_images/461885856593092610/1cfa__wN_normal.jpeg,,12,311,False,0,0,1380970375031390208,0.000,"Learn from yesterday, live for today and hope for tomorrow."
Apple iphone 11 &amp; 12 or one plus 9 pro 5g.. https://t.co/2Jn8Ez8Rd6,Aadarshroyals,04/10/2021 03:01:57,https://pbs.twimg.com/profile_images/1381972959271657474/2N1H7n3G_normal.jpg,,4323,3992,False,1,3,1380898853608513544,0.000,"👉लगा के आग दौलत में हमने ये #शौक पाले हैं..👇
कोई पूछे तो बता देना हम #Bjp वाले हैं....😍😍🙏

जयहिन्द, वंदेमातरम्🌹💐
सेकुलर दूर रहें.."
@ShokeenSanchit What happened about the Giveaway of One Plus 9 Pro,wasimsayyed88,04/10/2021 02:02:54,https://pbs.twimg.com/profile_images/1254388477669466112/9sFdPIhK_normal.jpg,,0,51,False,0,0,1380883992480686080,0.000,Being good with people and my Family
"@LewLater @UnboxTherapy It's just a marketing trick. 😂😂😂
If the thief was a tech geek, he must have known about the heating issue of one plus 9 pro.",_Ritik_Sharma_,04/10/2021 03:42:00,https://pbs.twimg.com/profile_images/1326877591635193859/CBXfqY_2_normal.jpg,,345,59,False,0,16,1380727740425379842,0.000,
@MKBHD Do you prefer the the One Plus 9 Pro over the Galaxy S21 Ultra.,tristonbiber,04/09/2021 07:06:41,https://pbs.twimg.com/profile_images/1037000278204211200/SpfCgEhL_normal.jpg,,220,1764,False,0,0,1380598058048708614,0.000,"TRISTON BIBER STRAIGHT OUTTA ROATAN ISLAND FOLLOW ME AND WILL FOLLOW U @tristonbiber VS Facebook  Triston Biber  
Roatan, Honduras 
http://t.co/XGG2Tb7KXI"
Watching “Tyler Perry’s The Payne’s” Season One Episode Twelve: Payneful Repairs on Hulu Plus via My IPAD Pro 9.7. {CL:173} https://t.co/5qjalDZiNt,borntoserve1968,04/09/2021 06:40:21,https://pbs.twimg.com/profile_images/484447486640021505/QOoHZyYq_normal.jpeg,,692,3874,False,0,0,1380591428418600961,0.000,"I am a 53 year old black man that loves to read, watch Sports and Television Shows. I also play a lot of NBA Live and NBA 2k and Now Pokémon Sword and Shield."
"Thief doesn't want S10+!
""Bhai mujhe laga One Plus 9 pro model hai,"" the thief told him when he returned it to him. Or rather, dropped it on the floor.  https://t.co/ebGNNaULXU",vrishtibeniwal,04/09/2021 04:10:25,https://pbs.twimg.com/profile_images/627333131406696448/ynGLcdaB_normal.jpg,,1355,485,False,0,0,1380553698850394120,0.000,Journalist with Bloomberg News
Thief Returns Man’s Phone He Snatched After Realizing It’s Not One Plus 9 Pro https://t.co/9TaNkUR7Q8 #OnePlus9Series #OnePlus9Pro #India #news https://t.co/IxlxghrAWD,iopenertoday,04/09/2021 03:48:12,https://pbs.twimg.com/profile_images/1351472643447296002/RMkkrTOn_normal.jpg,,16,14,False,1,7,1380548107486732288,0.000,An Online Publication that reaches out to the digital-first generation with its positive and thought provoking content. Stay tuned and hit the Follow!
@OnePlus_IN hey one plus... how's that 😂😂😂😂https://t.co/ZNbwhhN9MP,YGvVO7eCBStwTdP,04/09/2021 02:47:43,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,0,1,False,0,0,1380532883383676931,0.000,
@Grammar_nazzzi One Plus 9 Pro isn't even launched in India.,Youhu_Tarazu,04/09/2021 01:31:09,https://pbs.twimg.com/profile_images/1378420788374564866/cFy9daZQ_normal.jpg,,179,143,False,0,0,1380513617884286979,0.000,I'm living..I'm loving..I'm being loved..nothing more to ask from life.
