SentimentText,UserName,CreationDate,Image,FollowerCount,FollowingCount,Verified,ReTweet,Likes,ID,Polarity,bio
"@dcrainmakerblog I have being waiting a good long while to get this watch and I type this from my one plus 9 Pro, so I am very much a. Oneplus fan, these reviews are brutal and hard to ignore.",BrianOFarrell,04/13/2021 11:22:11,https://pbs.twimg.com/profile_images/1282231395658719232/V35LyNGM_normal.jpg,677,1006,False,0,0,1382111906467565569,-0.051,"Irish, father, marathoner, media planner passionate about data, sport and boardgames. Opinions my own. He/him"
@oneplus I would stop craving for a one plus Pro 9 if you releasd them in Australia. 🙏,Caluwant,04/13/2021 09:02:27,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,24,173,False,0,0,1382076739132682246,0.000,Living life is better than being worm food.
@oneplus choose photography as a career for one plus 9 pro,menochlophobic,04/13/2021 05:51:53,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,7,275,False,0,0,1382028784942030851,0.000,
"@oneplus I would not replace One Plus 7 pro with
One Plus 9 pro until I'm going to get it for free.",Rahul17102017,04/13/2021 05:18:25,https://pbs.twimg.com/profile_images/1278093248540610561/ippzmbU3_normal.jpg,911,507,False,0,0,1382020362729218051,0.400,Proud to be a gooner. 🔫 ⚽ 😎
@oneplus I would sell all of my electronics and my mom's car for a green one plus 9 pro 📱☘️🟩💚📱,MeamaScott,04/13/2021 04:58:04,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,2,9,False,0,0,1382015238791262209,-0.200,
@PeteLau Shot on one plus 9 or 9 pro?,Mohit_Krishna0,04/13/2021 04:41:27,https://pbs.twimg.com/profile_images/1285215844566351873/n_GUo2FC_normal.jpg,10,113,False,0,0,1382011056835325956,0.000,"𝓘𝓷 𝓶𝔂 𝓸𝔀𝓷 𝓵𝓪𝓷𝓮, 𝓸𝓷 𝓶𝔂 𝓸𝔀𝓷 𝓯𝓻𝓮𝓺𝓾𝓮𝓷𝓬𝔂."
@oneplus I would need to sell my one kidney for a one plus 9 Pro,kavinsatha,04/13/2021 03:48:33,https://pbs.twimg.com/profile_images/1370060301677174784/fzglvWT0_normal.jpg,57,361,False,0,0,1381997746551328770,0.000,"ERP consultant, INC Fan"
@oneplus Not interested for because one plus 9 pro because has only two 5g band it's not good smartphone for long-term usage and it also as heating issues,PandeyMp0998121,04/13/2021 03:48:13,https://pbs.twimg.com/profile_images/1360859479319842818/2aBzqF-G_normal.jpg,10,36,False,0,0,1381997661956435971,-0.158,Ooooo yehhh!!
@oneplus You should buy AC for one plus 9 pro 🤣🤣🤣🤣,ManasChandraBe5,04/13/2021 03:16:09,https://pbs.twimg.com/profile_images/1381139673448210435/S0jC5MTW_normal.jpg,4,33,False,0,0,1381989593034072065,0.000,
@Lekelee17 @EhrgeizGT @RanaTalay @imnotshreyas @BenGeskin One plus 9 pro is my primary and iPhone is my work phone,navisxo,04/13/2021 03:06:25,https://pbs.twimg.com/profile_images/1374250244477743115/ZUKIv4Yo_normal.jpg,203,211,False,0,1,1381987143388659714,0.400,hear my music at the link 👇🏻
"@OnePlus_IN Nothing is like a future photography in one Plus 9 pro it's totally marketing geemic  it's way back from iphone 7-8 
Nothing extraordinary",guruduttpandya2,04/13/2021 03:02:49,https://pbs.twimg.com/profile_images/869486384779743232/PmMt9aMa_normal.jpg,44,450,False,0,0,1381986237188206592,0.083,Exploring
"@oneplus Hey, I have one plus 8T but I want to upgrade it to 9 pro. Please help",sachin29149525,04/13/2021 02:21:22,https://pbs.twimg.com/profile_images/1302118294523002880/gXytA6_M_normal.jpg,4,115,False,0,3,1381975806163841024,0.000,
"@oneplus If you are going to give it away.

I would Make an Ultimate Unboxing for a One Plus 9 pro.",mhixid,04/13/2021 01:58:58,https://pbs.twimg.com/profile_images/1334376114102288384/0uHhXi6D_normal.jpg,2,97,False,0,0,1381970167538675713,0.000,meh
"@oneplus @OnePlus_IN @OnePlus_Support @TechnicalGuruji 
why my brand new one plus 9 pro is getting heated up so high while just scrolling posts on insta only..
god save me when I'll play any game
do something please @geekyranjit @UnboxTherapy @PeteLau @LewLater @Techburner_slok",shivadragon27,04/13/2021 01:53:29,https://pbs.twimg.com/profile_images/1282694297142218752/g_npkCXO_normal.jpg,0,8,False,0,0,1381968787361030145,-0.025,
"New Video!

Why YOU might want to AVOID the One Plus 9 Pro
https://t.co/HwWiEX0GsR https://t.co/ckYlvU1OoI",mrtechrant,04/13/2021 01:33:30,https://pbs.twimg.com/profile_images/1348097818347581442/L7YqNs--_normal.jpg,2173,153,False,0,3,1381963758302597121,0.170,I’m just a guy that likes to bring common sense to tech and have some fun along the way.
@GyanTherapy Heating issue like one plus 9 pro?,Farhanabir1212,04/13/2021 09:24:29,https://pbs.twimg.com/profile_images/1360630784051171337/jojpoYHs_normal.jpg,117,168,False,0,3,1381901093005795329,0.000,Leakers
"Hello guys 
I discuter a new Tech channel @bunchoftechbot. Let's Follow his reviews on YouTube... He's doing a great job 
Channel link : https://t.co/LbCBXDIKvR
Last vidéo on One plus 9 Pro https://t.co/AC8dSagJPW

#OnePlus9Series #Tech #Tt229 #Benin",cossimon,04/13/2021 08:41:14,https://pbs.twimg.com/profile_images/1160560430986735616/K7-K7rN-_normal.jpg,1309,255,False,3,3,1381890205951668225,0.312,#5G #Cloud #Telecoms #ProjectManagement #InformationSystems || IMPOSSIBLE IS NOTHING || Information System Specialist || Trust the Process
"One plus 9 Pro isn't worth buying it. Lot many issues 😫
- Over Heating
- Foreclosure of Camera App📸
- Refresh rate Poor in some apps

Hope 🥺 @oneplus @PeteLau 
Fix these 
#OnePlus9Series5G
#OnePlus9Pro https://t.co/74VXgKFAPs",_itsmelokesh,04/13/2021 04:53:17,https://pbs.twimg.com/profile_images/1381832112798453760/aHZWMJ6N_normal.jpg,972,35,False,0,2,1381832844142542849,0.133,"Laterning the lights on my way ❤️
@itslavanya ❤️
@nameisnani 😎"
"Oneplus 9 Pro Vs Vivo X60 Pro Plus Comparison | Same Processor Different Price ? Which one to Buy?

https://t.co/iZ1HZKZ9Y8",Techcentral__,04/13/2021 04:43:01,https://pbs.twimg.com/profile_images/911575567786434566/s5an_eVN_normal.jpg,37,58,False,0,0,1381830259029475330,0.000,"Youtube Channel 
The Tech And Our Updates"
Watching “Law &amp; Order: Special Victims Unit” Season Eleven Episode One: Unstable on Hulu Plus via My IPAD Pro 9.7. {CL:029} https://t.co/tm7dVSAtTc,borntoserve1968,04/13/2021 12:37:34,https://pbs.twimg.com/profile_images/484447486640021505/QOoHZyYq_normal.jpeg,692,3874,False,0,0,1381768490424614912,0.357,"I am a 53 year old black man that loves to read, watch Sports and Television Shows. I also play a lot of NBA Live and NBA 2k and Now Pokémon Sword and Shield."
Got the new one plus pro 9 5G today. Sick phone definitely happy with it so far!,heartz22,04/13/2021 12:07:43,https://pbs.twimg.com/profile_images/1347684991967309829/Oo1mcV32_normal.jpg,318,207,False,0,1,1381760977696350209,0.086,Now where the fuck should I really even start
"@DirectTechYT @YouTube @OnePlus_USA image quality im fine with, the shutter lag isnt bad, just slightly slower than the iphone, but quicker than the samsung s21 Ultra, im on a tmobile one plus 9 pro so no update yet",mrtechrant,04/12/2021 11:47:29,https://pbs.twimg.com/profile_images/1348097818347581442/L7YqNs--_normal.jpg,2173,153,False,0,0,1381755883366051840,-0.149,I’m just a guy that likes to bring common sense to tech and have some fun along the way.
"Finished my first review! I spent a week with the One Plus 9 Pro and here are my thoughts.

https://t.co/pF4G6uPmL8",WillGraf7,04/12/2021 11:24:51,https://pbs.twimg.com/profile_images/1178483785110671360/cfbE37R-_normal.jpg,590,956,False,0,1,1381750187933188096,0.106,"24. Tech Enthusiast. Former Halo Competitor. “Toward the good, toward the brave, toward love”"
"Going live at 8:00pm EDT

I'm Ordering the One Plus Watch! My Experience with the OnePlus 9 Pro https://t.co/m2pcnfGjnj via @YouTube @OnePlus_USA https://t.co/zf6r83LGXx",mrtechrant,04/12/2021 11:23:26,https://pbs.twimg.com/profile_images/1348097818347581442/L7YqNs--_normal.jpg,2173,153,False,2,9,1381749834839908359,0.170,I’m just a guy that likes to bring common sense to tech and have some fun along the way.
@AndroidStud Why spend that money on the one plus 9 pro to use gcam makes no sense.,dogs559,04/12/2021 10:35:20,https://pbs.twimg.com/profile_images/1337627576538263552/KDMRdPET_normal.jpg,265,173,False,0,1,1381737729348673536,0.000,
@arun_ns_ @PeteLau Thanks for giving this wonderful product to us... Even 20 K worth phone will give better user experience compared to one plus 9 pro ... Im really disappointed from one plus..@OnePlus_IN @OnePlus_Support @oneplus https://t.co/94RUR3cHpD,DhilipWag,04/12/2021 06:31:35,https://pbs.twimg.com/profile_images/1381676831623966720/gYnKRuRi_normal.jpg,0,94,False,0,0,1381676386297937922,0.250,
Watching “Law &amp; Order:Organized Crime” Season One Episode Two: Not Your Father’s Organized Crime on Hulu Plus via My IPAD Pro 9.7. {CL:529} https://t.co/83pYIuFWfp,borntoserve1968,04/12/2021 05:46:40,https://pbs.twimg.com/profile_images/484447486640021505/QOoHZyYq_normal.jpeg,692,3874,False,0,0,1381665081365266434,0.000,"I am a 53 year old black man that loves to read, watch Sports and Television Shows. I also play a lot of NBA Live and NBA 2k and Now Pokémon Sword and Shield."
@srinivasr_19 @PeteLau @OnePlus_IN @oneplus @OnePlus_UK @OnePlus_Support I have one plus 9 Pro and I tell you it heats alot,iamankursangwan,04/12/2021 05:21:53,https://pbs.twimg.com/profile_images/1248073776199348224/0AlG0Gux_normal.jpg,0,45,False,0,2,1381658847329193991,0.000,"Entreprenure
Learner"
Hi @GameloftIN why dont u support this on One Plus 9 Pro 🤔 https://t.co/rzw3hDjrEF,_silly_mistake_,04/12/2021 04:15:56,https://pbs.twimg.com/profile_images/713008633458503680/OIKrtUSj_normal.jpg,363,1392,False,0,1,1381642250065616896,0.000,
"@oneplus When are we going to get the resolution for heating issue in One Plus 9 pro ??

Is that why we have paid 70k ??",us17190,04/12/2021 02:24:10,https://pbs.twimg.com/profile_images/1286666673743831046/DY-maelD_normal.jpg,34,290,False,0,0,1381614121980846082,0.000,"A proud Indian and a typical Bihari😀

जात से क्षत्रिय 😬"
@oneplus I need one plus 9 pro It is nice to have it.....,subhash1661660,04/12/2021 01:25:05,https://pbs.twimg.com/profile_images/1379602521124179968/teGW3E0g_normal.jpg,1,10,False,1,1,1381599254112694276,0.600,electronic lover
"@oneplus Jack of all trades, champion of none.
Screen - Samsung is better
Performance - Asus rog phone 5 is better
Camera - Samsung and Apple are better
Battery life - Asus rog phone 5 way better
Design - Samsung is better
One plus 9/9 pro champion at what?",f2p_tartaglia,04/12/2021 11:21:07,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,0,27,False,0,9,1381568057605124097,0.500,
@OnePlus_IN @OnePlus_IN i will like you to capture my one plus 9 pro shipping details which is hidden by #AmazonIndia @AmitAgarwal @JeffBezos,rachit_vm,04/12/2021 10:08:03,https://pbs.twimg.com/profile_images/738826666177396736/kRBLtaT9_normal.jpg,15,93,False,0,0,1381549669554085890,-0.166,I don't react but I respond
"Hi @oneplus @OnePlus_IN,  Could you please explain this 🤔 Why is it not supported on One Plus 9 Pro 🤔 @PeteLau https://t.co/YJmMTt61Qk",_silly_mistake_,04/12/2021 09:11:15,https://pbs.twimg.com/profile_images/713008633458503680/OIKrtUSj_normal.jpg,363,1392,False,0,2,1381535373315088385,0.000,
@HariFCMessi Idk no phone is perfect tbh. They have some let down depending on your preferences. But im only looking into 2 phones which is the s21 ultra and One Plus 9 pro. Sony Xperia used to be my favourite but they are dusted now. Iphones? I gotta compromise too many things.,Lil_Mr_Dynamite,04/12/2021 06:56:13,https://pbs.twimg.com/profile_images/1379845117343801344/gxfmOmxF_normal.jpg,3023,2476,False,0,0,1381501392695619586,0.336,Cule丨Ariana Grande丨Lionel Messi Supremacy
"Where is my One Plus 9 Pro? 😊
@amazonIN @OnePlus_IN 
#AmazonMobileInsider #OnePlus9Series 
#OnePlus9Series5G https://t.co/Yh5IzJPZ5r",AhmedJani_Shaik,04/12/2021 05:44:54,https://pbs.twimg.com/profile_images/1273255892721569792/RdqtNokL_normal.jpg,876,492,False,0,0,1381483442995490819,0.000,"Proud Indian 🇮🇳 



























































Watan Ke Aage Kuch Nahi, Khud Bhi Nahi.!! 🇮🇳"
"Where is my One Plus 9 Pro? 😊
@amazonIN @OnePlus_IN 
#AmazonMobileInsider #OnePlus9Series https://t.co/xBc8fcZpKs",AhmedJani_Shaik,04/12/2021 05:44:48,https://pbs.twimg.com/profile_images/1273255892721569792/RdqtNokL_normal.jpg,876,492,False,0,0,1381483418303651840,0.000,"Proud Indian 🇮🇳 



























































Watan Ke Aage Kuch Nahi, Khud Bhi Nahi.!! 🇮🇳"
"One Plus India replied about the thief who declined to take the phone because it was not OnePlus 9 pro...

#MarketingMind #OnePlus https://t.co/KWoeFujFhs",MarketingMind_,04/12/2021 04:30:08,https://pbs.twimg.com/profile_images/1350303691002179584/mqpE7mk2_normal.jpg,13096,28,False,1,33,1381464627024785415,0.000,"We Introduce you to one of the best and Creative ads around you which will leave you Spellbound..

Nomination Link for Women Iconza Awards 2021 👇"
"Congratulations @oneplus for reaching 2.4 million followers....
It's time for some party and the most awaited giveaway of 9 one plus 9 pro devices .",burmannayak,04/12/2021 04:15:51,https://pbs.twimg.com/profile_images/1037327201815814144/wJXTBO8s_normal.jpg,2,45,False,0,1,1381461033001226241,0.500,
"@ImjustSayingJC It's more like ""why the One Plus 9 pro is better than the S21 Ultra"" posts and videos.",lasterd80,04/12/2021 03:20:38,https://pbs.twimg.com/profile_images/1371303785553858564/f3iTxooS_normal.jpg,1075,726,False,0,3,1381447139885219842,0.500,"If you're subbing to my twitter page, I have to tell you that my page is PRIMARILY a tech page.

I have another page @DERRICK39195237 that is non-tech related."
So I need to get a new phone soon cause my battery just can't last half a day anymore. I'm thinking about getting the One Plus 9 Pro or the Samsung galaxy s21 ultra. Unless there's a new phone coming out that's dope? Thoughts?,MahouShoujoMoon,04/11/2021 07:53:11,https://pbs.twimg.com/profile_images/1380731415751368706/E9ayVKuf_normal.jpg,646,583,False,0,2,1381334534440976390,0.026,"Weird/gross fetish artist. 🔞 No Minors, Extremely NSFW. 
32 | Transfemme Lesbian | Plural Median | Pooltoy Moon (Cow-raccoon) | 🌙🌑
 
@Kahncub 💍 💖🏳️‍⚧️"
@Joe__Tennis @BurgerKingUK No longer with Google fi either went with super cheap plan from mint. Thats lte speed until my one plus 9 pro arrives which supports 5G https://t.co/KExbfBUxGe,bjorn6,04/11/2021 07:11:47,https://pbs.twimg.com/profile_images/845640492519997442/0QV0B51h_normal.jpg,675,3023,False,0,1,1381324113990455296,0.366,"I love tennis, and technology"
@Joe__Tennis @BurgerKingUK I got a new mobile phone one plus 9 pro.,bjorn6,04/11/2021 06:35:06,https://pbs.twimg.com/profile_images/845640492519997442/0QV0B51h_normal.jpg,675,3023,False,0,1,1381314882419720193,0.136,"I love tennis, and technology"
"@SamsungIndia When considering the competition, the OnePlus 9 Pro is a better and more affordable alternative to the Galaxy S21 Ultra starting at Rs Rs 64,999.@SamsungIndia ...Also one plus dony have heating problem",gurudoshi,04/11/2021 06:01:52,https://pbs.twimg.com/profile_images/1210409659208626177/0cIgcuAc_normal.jpg,80,128,False,0,0,1381306519560445954,0.333,Passionate
"-Obviously we have entered the “I’m Switching” Phase of the One Plus 9 Pro Review.

i’m Just Saying 🤷🏻‍♂️",ImjustSayingJC,04/11/2021 05:57:24,https://pbs.twimg.com/profile_images/1379144542553788423/d36OKibe_normal.jpg,1815,1047,False,0,17,1381305397626175488,0.000,Mobile Tech Analyst | Founder of the I'm Just Saying 🤷🏻‍♂️ Creator of the Month. Business Inquiries: imJustSayingjc@gmail.com
"@PeteLau Please decrease the prices of one plus 9 pro and the one plus 9.
They are too expensive that no one will step forward to buy in India. 
There's a drastic change between prices of one plus 8 Pro and 9 Pro. 
@PeteLau you might think of earning millions of dollars but think of India",Nitin42977164,04/11/2021 05:00:17,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,0,16,False,0,0,1381291023687589888,-0.500,
"@parineet_v Don't think twice to go for 12 or 12 pro if S21 series is not on you list..9/pro are the ugliest one plus phones to date..they are a complete Chinese rip off, 8 pro was peak one plus..Buy the s21 ultra if you want the best. Nothing else.",rishikydv1,04/11/2021 04:40:26,https://pbs.twimg.com/profile_images/1371172822626619393/cupzDIAX_normal.jpg,43,159,False,0,1,1381286026589564936,0.366,"23,
I love new smartphones and their leaks!"
"@zen_helmi One Plus 9 and 9 Pro got mixed reviews. 

😂",izan_rosmani,04/11/2021 04:13:41,https://pbs.twimg.com/profile_images/1273481735762657280/3h5Gdb6Z_normal.jpg,310,377,False,0,0,1381279294643527681,0.000,•Master in TESL 🎓 •ENFJ •Meneliti berita semasa •Melihat gelagat dan kerenah manusia  • Part-time proofreader
@OnePlus_IN or better #oneplus9_5g_two_bands_series you have only given 1 band in 9r and 2 in 9/9 pro what level of confidence you have got one plus and not to forget plastic frame and no ois i mean why do you even care to put the hasselblad camera in op9 huh,Bhavya7489,04/11/2021 03:54:16,https://pbs.twimg.com/profile_images/1154861272132751360/n5FiZyA5_normal.jpg,51,466,False,0,0,1381274408090624000,0.062,
@parineet_v Wait for 13 or one plus 9 pro.,Techtopia01,04/11/2021 03:22:31,https://pbs.twimg.com/profile_images/1375115096410710025/C9wb8gI3_normal.jpg,23,360,False,0,1,1381266416473673729,0.000,One machine can do the work of fifty ordinary men. No machine can do the work of one extraordinary man.
"I almost pulled the trigger on a one plus 9 pro to see if the hype is real, but I changed my mind because I know it's the same shit as any other one plus i have owned have to receive a shit load of updates to be semi satisfied.",dogs559,04/11/2021 02:58:41,https://pbs.twimg.com/profile_images/1337627576538263552/KDMRdPET_normal.jpg,265,173,False,0,5,1381260420955009024,0.029,
"@OnePlus_UK Not so much of an unboxing but more an admiration of the overall packaging.

After a week with the One Plus 9 Pro my honest opinion is that it's a great device all round but battery life could've been better. 

Wireless Warp charging is a real game changer though. Love it. https://t.co/RtRSfVxYja",SpizeyMeatball,04/11/2021 01:40:52,https://pbs.twimg.com/profile_images/1372180429726420995/rdlrIi69_normal.jpg,202,190,False,0,5,1381240835895922689,0.255,
@OnePlus_UK My one plus 9 pro.....best unboxing....👍 https://t.co/CoqZLyLKpj,subhash1661660,04/11/2021 01:16:12,https://pbs.twimg.com/profile_images/1379602521124179968/teGW3E0g_normal.jpg,1,10,False,0,7,1381234629382860800,0.000,electronic lover
Why I SWITCHED from an iPhone to the One Plus 9 Pro - The Full Story https://t.co/Sitq8Qopyb via @YouTube https://t.co/q0V23HQ3x1,mrtechrant,04/11/2021 12:28:51,https://pbs.twimg.com/profile_images/1348097818347581442/L7YqNs--_normal.jpg,2173,153,False,4,17,1381222712262164480,0.350,I’m just a guy that likes to bring common sense to tech and have some fun along the way.
@VerdeSelvans Some blackberry touch phone Motorola razor some Nokia feature phone Samsung s3 s4 s5 s6 edge s7 edge s9 iPhone 4s 5 5s se 6s 7 plus 8 plus x Xs 11 pro current :12 pro max also had one plus 3t 6 mi note 9 pro realme 6 pro I think that’s it,Unik53894020,04/11/2021 12:07:55,https://pbs.twimg.com/profile_images/1341414622675525652/38hioogr_normal.jpg,6,136,False,0,2,1381217443889115143,0.000,not what you think
"@OnePlus_Support is the one plus 9 pro available in Saudi Arabia??

You guys are very disconnected from middle eastern region it's very frustrating for One plus fans",almo8and,04/11/2021 11:29:12,https://pbs.twimg.com/profile_images/1201075500573167616/2Jqd3E1i_normal.jpg,108,456,False,0,0,1381207703360577537,0.020,Let's mess shit up
"@OnePlus_IN 
Hello sir I have one plus 6t  and I want to upgrade with one plus 9 pro. But one plus 6t which I purchased on 2019 value goes down  which is not good for existing customers. One plus launching new models very fast and old models value goes down very fast. Help me pls",Manmeetbhai,04/11/2021 11:17:54,https://pbs.twimg.com/profile_images/1082530661913772032/ivr1nIr4_normal.jpg,254,47,False,0,0,1381204856665350147,0.013,"Aware Indian, aware indian-- Har Har Mahadev"
@MrKhan12769756 @HFVUnbox X60 pro ya s20fe 5g dono hi best he. Bas personal preference pe depend karta he (UI and brand value and all that). Bas check kar lena ki kahi x60 pro b one plus 9 k jese sirf 2 5g bands na de raha ho kyu ki s20fe 9 bands deta he 5g k,DarthVa36736015,04/11/2021 08:32:14,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,0,4,False,0,0,1381163165694619648,0.500,Don't Argue Because You Won't Win
@OnePlus_Support pocket mode issue One plus 9 Pro https://t.co/hY5aY3Asz6,pratik_ccpl,04/11/2021 08:11:34,https://pbs.twimg.com/profile_images/1184090950236172288/vvCPTEsO_normal.jpg,246,155,False,0,1,1381157964929585156,0.000,Commerce Corner Pvt Ltd
"@PeteLau @OnePlus_IN Big fan of one plus . 
Used one plus 7and 8t .
Wishing for one plus 9 pro . Love from India.",siddy___buddy,04/11/2021 02:52:49,https://pbs.twimg.com/profile_images/1260112083913506817/-NXMUya-_normal.jpg,78,132,False,1,0,1381077751034077188,0.250,"Explorer | Traveller | Photographer






































अनुगच्छतु प्रवाहं"
Within 4 hours of purchase.... One plus 9 pro .... @OnePlus_IN @oneplus ... @PeteLau https://t.co/TTnBIw0iXZ,adhilegend,04/10/2021 07:55:33,https://pbs.twimg.com/profile_images/1247610672977809408/zdZKBSW6_normal.jpg,15,491,False,0,1,1380972742032302081,0.000,trying to be an human
"Wow, I am getting my one plus 9 pro in 4 days, definitely I will send u guys pics https://t.co/XnWMG4n5xS",nikkieychawla,04/10/2021 07:47:23,https://pbs.twimg.com/profile_images/1292719763597090818/GZt7ADtZ_normal.jpg,433,35,False,0,0,1380970687339225088,0.050,"India’s 1st Transgender Model/Actress, , Content Creator"
@oneplus in my one plus 9 pro the final image output is not coming as it shown in during camera display @OnePlus_IN @OnePlus_Support,ssteja223,04/10/2021 07:46:09,https://pbs.twimg.com/profile_images/461885856593092610/1cfa__wN_normal.jpeg,12,311,False,0,0,1380970375031390208,0.000,"Learn from yesterday, live for today and hope for tomorrow."
Apple iphone 11 &amp; 12 or one plus 9 pro 5g.. https://t.co/2Jn8Ez8Rd6,Aadarshroyals,04/10/2021 03:01:57,https://pbs.twimg.com/profile_images/1381972959271657474/2N1H7n3G_normal.jpg,4323,3992,False,1,3,1380898853608513544,0.000,"👉लगा के आग दौलत में हमने ये #शौक पाले हैं..👇
कोई पूछे तो बता देना हम #Bjp वाले हैं....😍😍🙏

जयहिन्द, वंदेमातरम्🌹💐
सेकुलर दूर रहें.."
